Step;ImpulseLeft(FX);LoadingRateLeft(FX);ImpactPeakForceLeft(FX);TimeImpactPeakForceLeft(FX);ImpulseRight(FX);LoadingRateRight(FX);ImpactPeakForceRight(FX);TimeImpactPeakForceRight(FX);ImpulseLeft(FY);LoadingRtaeLeft(FY);ImpactPeakForceLeft(FY);TimeImpactPeakForceLeft(FY);ImpulseRight(FY);LoadingRateRight(FY);ImpactPeakForceRight(FY);TimeImpactPeakForceRight(FY);ImpulseLeft(FZ);LoadingRateLeft(FZ);ImpactPeakForceLeft(FZ);TimeImpactPeakForceLeft(FZ);ImpulseRight(FZ);LoadingRateRight(FZ);ImpactPeakForceRight(FZ);TimeImpactPeakForceRight(FZ)
2;-9.639390919;-121.9779;-6.098895;0.05;0.16;119.3150781;19.0904125;0.16;-7.437382462;-9.654958333;-0.28964875;0.03;0.04;92.86446875;3.71457875;0.04;61.20182934;968.39875;67.7879125;0.07;0.14;980.6919643;19.0904125;0.14
3;-9.466308567;-77.018425;-3.85092125;0.05;0.13;123.3796154;16.03935;0.13;-8.347778934;-6.683090625;-0.267323625;0.04;0.04;91.5475625;3.6619025;0.04;64.98663172;837.3481944;75.3613375;0.09;0.15;800.5600833;16.03935;0.15
4;-9.780035332;-110.64225;-5.5321125;0.05;0.01;1385.7675;13.857675;0.01;-7.05010588;29.453225;1.178129;0.04;0.03;438.4841667;13.154525;0.03;65.52836393;916.0815625;73.286525;0.08;0.11;1798.6625;13.857675;0.11
5;-9.992881174;-119.2802;-5.96401;0.05;0.02;301.5596875;6.03119375;0.02;-7.708605356;-72.15828125;-2.88633125;0.04;0.03;57.08841667;1.7126525;0.03;63.73228615;1096.693571;76.76855;0.07;0.13;1067.7875;6.03119375;0.13
6;-10.35610769;-129.820525;-6.49102625;0.05;0.03;183.02725;5.4908175;0.03;-7.925003263;-33.56908333;-1.0070725;0.03;0.05;43.49495;2.1747475;0.05;69.24392694;1052.135781;84.1708625;0.08;0.16;900.2039062;5.4908175;0.16
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;-9.846944736;-111.74786;-5.587393;0.05;0.07;422.6098262;12.10188975;0.07;-7.693775179;-18.52243771;-0.654449425;0.036;0.038;144.6959129;4.88368125;0.038;64.93860762;974.1315719;75.4750375;0.078;0.138;1109.581191;12.10188975;0.138
