Step;ImpulseLeft(FX);LoadingRateLeft(FX);ImpactPeakForceLeft(FX);TimeImpactPeakForceLeft(FX);ImpulseRight(FX);LoadingRateRight(FX);ImpactPeakForceRight(FX);TimeImpactPeakForceRight(FX);ImpulseLeft(FY);LoadingRtaeLeft(FY);ImpactPeakForceLeft(FY);TimeImpactPeakForceLeft(FY);ImpulseRight(FY);LoadingRateRight(FY);ImpactPeakForceRight(FY);TimeImpactPeakForceRight(FY);ImpulseLeft(FZ);LoadingRateLeft(FZ);ImpactPeakForceLeft(FZ);TimeImpactPeakForceLeft(FZ);ImpulseRight(FZ);LoadingRateRight(FZ);ImpactPeakForceRight(FZ);TimeImpactPeakForceRight(FZ)
1;-87.27222469;131.826875;1.31826875;0.01;0.01;51.6235;0.516235;0.01;-77.81416549;226.898;2.26898;0.01;0.11;-37.21151136;-4.09326625;0.11;652.0901463;140.868375;8.4521025;0.06;1.72;85.69796512;0.516235;1.72
2;-86.528109;56.81415625;2.27256625;0.04;0.02;48.7905625;0.97581125;0.02;-82.1636586;128.7804375;2.57560875;0.02;0.41;5.448783537;2.23400125;0.41;628.1323428;211.4920833;12.689525;0.06;1.6;97.55101563;0.97581125;1.6
3;-87.1694039;-29.524375;-0.5904875;0.02;0.32;16.25642187;5.202055;0.32;-78.07090583;-287.9506875;-5.75901375;0.02;0.42;5.689491071;2.38958625;0.42;714.5429514;2623.62625;26.2362625;0.01;1.55;105.2604839;5.202055;1.55
4;-82.85319344;300.4015;3.004015;0.01;0.22;12.81357955;2.8189875;0.22;-75.4528121;-66.4098125;-1.32819625;0.02;0.13;-30.32322115;-3.94201875;0.13;672.1338073;242.375625;14.5425375;0.06;1.58;92.15118671;2.8189875;1.58
5;-88.07621861;44.25241875;0.885048375;0.02;0.02;53.46710625;1.069342125;0.02;-84.66591617;186.8475;3.73695;0.02;0.03;-44.00216667;-1.320065;0.03;744.8711993;228.721875;13.7233125;0.06;1.44;130.1261285;1.069342125;1.44
6;-85.17267382;62.9843875;0.629843875;0.01;0.03;47.34291667;1.4202875;0.03;-92.12949749;397.499;3.97499;0.01;0.41;0.700133232;0.287054625;0.41;726.4721862;269.7895;13.489475;0.05;1.49;108.6928691;1.4202875;1.49
7;-90.17835773;18.49455;0.739782;0.04;0.06;31.57414583;1.89444875;0.06;-91.44926825;22.40189375;0.448037875;0.02;0.42;2.914624702;1.224142375;0.42;728.4791516;94.82546429;66.377825;0.7;1.52;105.1121711;1.89444875;1.52
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;-86.75002588;83.60707321;1.179862393;0.021428571;0.097142857;37.40974752;1.985309589;0.097142857;-83.10660342;86.86661875;0.845336661;0.017142857;0.275714286;-13.82626666;-0.460080786;0.275714286;695.2459693;544.5284532;22.21586286;0.142857143;1.557142857;103.5131171;1.985309589;1.557142857
