Step;ImpulseLeft(FX);LoadingRateLeft(FX);ImpactPeakForceLeft(FX);TimeImpactPeakForceLeft(FX);ImpulseRight(FX);LoadingRateRight(FX);ImpactPeakForceRight(FX);TimeImpactPeakForceRight(FX);ImpulseLeft(FY);LoadingRtaeLeft(FY);ImpactPeakForceLeft(FY);TimeImpactPeakForceLeft(FY);ImpulseRight(FY);LoadingRateRight(FY);ImpactPeakForceRight(FY);TimeImpactPeakForceRight(FY);ImpulseLeft(FZ);LoadingRateLeft(FZ);ImpactPeakForceLeft(FZ);TimeImpactPeakForceLeft(FZ);ImpulseRight(FZ);LoadingRateRight(FZ);ImpactPeakForceRight(FZ);TimeImpactPeakForceRight(FZ)
1;-8.763535144999993;-75.52965;-3.7764825;0.05;0.11;117.74568181818182;12.952025;0.11;-7.215689219249999;121.5034375;4.8601375;0.04;0.04;71.6964375;2.8678575;0.04;60.77585578749998;1307.1571875;52.28628749999999;0.04;0.15;945.0291666666667;12.952025;0.15
2;-9.583789913750003;-66.0781375;-0.660781375;0.01;0.03;142.25958333333332;4.2677875;0.03;-8.652231786874998;-39.0297;-1.170891;0.03;0.04;52.159781249999995;2.08639125;0.04;65.12927730624999;921.3605357142858;64.4952375;0.07;0.16;846.6765625;4.2677875;0.16
3;-8.081615228499999;-56.39682500000001;-2.81984125;0.05;0.02;181.88262500000002;3.6376525;0.02;-7.338528929375;11.467166666666666;0.344015;0.03;0.03;49.54108333333333;1.4862325;0.03;55.02883060000002;445.2482608695653;102.4071;0.23;0.2;597.0284375;3.6376525;0.2
4;-7.696961911874999;145.687;1.45687;0.01;0.02;151.227125;3.0245425;0.02;-6.911270298374999;42.89741666666667;1.2869225;0.03;0.04;53.39115625000001;2.13564625;0.04;55.23228604374999;458.96914772727274;100.9732125;0.22;0.17;693.9448529411765;3.0245425;0.17
5;-7.520966518125002;-65.16325;-3.2581625;0.05;0.03;75.03875;2.2511625;0.03;-6.796796375;33.8529125;1.015587375;0.03;0.05;12.4782425;0.623912125;0.05;53.068370037499996;489.3522023809523;102.76396249999999;0.21;0.2;600.727625;2.2511625;0.2
6;-0.58029497125;-37.460499999999996;-2.24763;0.06;0.02;141.8889375;2.83777875;0.02;-0.5551801762499999;-58.60474999999998;-1.7581424999999997;0.03;0.04;23.134718749999998;0.92538875;0.04;4.5307068500000005;876.7342857142856;61.3714;0.07;0.16;759.2456249999999;2.83777875;0.16
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;=AVERAGE(B2:B7);=AVERAGE(C2:C7);=AVERAGE(D2:D7);=AVERAGE(E2:E7);=AVERAGE(F2:F7);=AVERAGE(G2:G7);=AVERAGE(H2: H7);=AVERAGE(I2: I7);=AVERAGE(J2:J7);=AVERAGE(K2:K7);=AVERAGE(L2:L7);=AVERAGE(M2:M7);=AVERAGE(N2:N7);=AVERAGE(O2:O7);=AVERAGE(P2:P7);=AVERAGE(Q2:Q7);=AVERAGE(R2:R7);=AVERAGE(S2:S7);=AVERAGE(T2:T7);=AVERAGE(U2:U7);=AVERAGE(V2:V7);=AVERAGE(W2:W7);=AVERAGE(X2:X7);=AVERAGE(Y2:Y7)
