Fx1,Fy1,Fz1,Mx1,My1,Mz1,Fx2,Fy2,Fz2,Mx2,My2,Mz2,Copx1,Copy1,Copxy1,Copx2,Copy2,Copxy2
0.1871329,0.2658321,0.8967285,0.01526642,0.05591583,0.008657157,0.007939905,0.1238797,0.283905,0.03148651,0.05302048,0.08630665,-62.3553618788719,-17.0245710760355,64.6376606582266,-186.754271388054,110.905081033707,217.20288874869,0
0
0.04496765,0.03081375,0.1628799,0.04619384,0.01980591,0.1062813,0.02490616,0.1060704,179.87060546875,-548.248291015625,577.000540132545,1257.51161575317,-5366.14036560059,5511.51502647703,0
0.2343764,0.06447303,0.2459106,0.02867126,0.0605011,0.09903467,0.3302311,0.313607,0.6584167,0.04304123,0.0418663,0.003826216,246.028795838356,-116.592206060886,272.257067669171,63.5863244533539,65.3707981109619,91.1951857454731,0
0.024459,0.06566119,0.241333,0.09287262,0.04203796,0.01936662,0.1616166,0.03894186,0.6667786,0.01259232,0.1111412,0.03694442,-174.190700054169,384.831815958023,422.419136118277,166.683822870255,18.8853032886982,167.750265236597,0
0.2259386,0.4858428,0.8948975,0.0009078979,0.02657318,0.03658599,0.1640384,0.05042052,0.2790222,0.07338333,0.01536942,0.03034534,-29.6941064298153,1.01452739909291,29.711432521989,55.0831221044064,-263.00173997879,268.708141991716,0
0.2294486,0.2784241,0.2445679,0.01420593,0.05970001,0.008075833,0.1639569,0.05422235,0.6057434,0.01462173,0.02597427,0.03717445,244.104072451591,-58.0858513712883,250.919836435821,-42.8799949586391,-24.1384953260422,49.2073259206216,0
0.03121894,0.1454901,0.4028931,0.07943726,0.04224396,0.04795659,0.008429706,0.05558062,0.2704773,0.04846573,0.0547905,0.06458661,104.85153645277,-197.167098522186,223.313030153111,-202.569678425789,179.185941815376,270.44791802081,0
0.2356785,0.0645231,0.5745239,0.03419495,0.1038208,0.03703588,0.3536549,0.2406213,0.9112244,0.06126785,0.02096176,0.01916994,180.707529187202,59.518750756979,190.256912611908,-23.0039525777102,-67.2368481755257,71.0631802467088,0
0.2331864,0.2655308,0.2541504,0.1124191,0.06028748,0.01386446,0.005016446,0.2283795,0.6001587,0.1210861,0.09470367,0.02011713,237.211808562279,442.333102226257,501.924312468017,-157.79772400856,-201.756834983826,256.136569362855,0
0.4386682,0.2810832,0.8930664,0.01361847,0.01131439,0.03115493,0.01308325,0.1216061,0.6185608,0.1537437,0.007854462,0.04903288,-12.6691497862339,-15.2491116896272,19.8253061421193,-12.6979621127248,-248.550742864609,248.874888288001,0
0.2217385,0.4891735,0.8917236,0.0007858276,0.05895233,0.01978409,0.01339629,0.1224277,0.2913513,0.09132767,0.03299332,0.01846687,66.1105439066887,0.88124570902437,66.1164170961939,113.242380321026,-313.462346792221,333.290383235488,0
0.4486281,0.1406082,1.221313,0.01941681,0.0329895,0.03034496,0.1644668,0.04668212,0.02877808,0.1076698,0.02613449,0.03813441,27.0114950835705,15.8983003348112,31.3428910629765,908.138930797577,-3741.38379096985,3850.0219465559,0
0.4367804,0.284574,0.890686,0.1099396,0.01260376,0.04805744,0.1705083,0.2336478,1.235443,0.1213226,0.02608109,0.05400556,-14.1506204381585,123.432464897633,124.240949165282,-21.1107134819031,-98.2017144560814,100.445203697482,0
0.4379982,0.2774632,0.5684814,0.1724167,0.03118896,0.03132492,0.01931661,0.302145,0.3491516,0.1044655,0.05294418,0.003373325,54.8636466264725,303.293436765671,308.215717487422,151.63666009903,299.198061227798,335.429808646253,0
0.2344164,0.06385303,0.07910156,0.03330231,0.01654816,0.09912467,0.3546247,0.2344413,0.276886,0.06093216,0.06368637,0.01755998,-209.201395511627,-421.006947755814,470.119212479855,230.009362101555,220.062270760536,318.326419994709,0
0.2324685,0.06891394,0.5690308,0.03330994,0.01602936,0.01940417,0.01530617,0.1293879,0.3448181,0.09035873,0.03281021,0.01825687,28.1695798039436,58.5380233824253,64.9632619859265,-95.1522290706635,262.047529220581,278.788188895669,0
0.02186675,0.2688648,0.8966064,0.01441193,0.04084778,0.03093368,0.1620266,0.1246579,0.6174622,0.1529198,0.02421951,0.01470442,-45.5582030117512,-16.0738602280617,48.3106493880096,-39.2242856323719,-247.658520936966,250.745463719796,0
0.03265672,0.1529669,0.07635498,0.1416626,0.08454132,0.0310638,0.008636177,0.05289221,0.2817688,0.04711533,0.03174973,0.004733115,1107.2142124176,-1855.31580448151,2160.58326535646,112.680062651634,167.212709784508,201.635529688233,0
0.2256985,0.4871627,0.5715332,0.06041718,0.01633453,0.03664595,0.006736219,0.05420208,0.6000061,0.01391602,0.01031876,0.004293114,28.5801999270916,-105.710700154305,109.506072685426,-17.1977523714304,-23.193122819066,28.8735801855143,0
0.1723629,0.3590997,1.050354,0.05966187,0.05686951,0.01984286,0.3390413,0.04552031,0.2867126,0.07385635,0.08457565,0.002615958,54.1431792080402,56.8016730248928,78.4723767524649,-294.984042644501,-257.597118616104,391.627196366917,0
0.1761929,0.1491193,0.07336426,0.2298355,0.01233673,0.00890702,0.1741165,0.4111495,1.553253,0.04539108,0.01664352,0.03734419,168.157234787941,3132.79938697815,3137.30917422274,10.7152685523033,-29.2232353240252,31.1257845355154,0
0.01117678,0.6885024,0.894165,0.01503754,0.04187775,0.0314036,0.01379624,0.04682207,0.6750183,0.1090622,0.01167297,0.004003122,-46.834472566843,16.8174058198929,49.7623648867831,17.2928255051374,-161.569237709045,162.492031767201,0
0.2294486,0.2784241,0.2445679,0.01420593,0.05970001,0.008075833,0.1865863,0.05385399,0.03726196,0.0139122,0.00535202,0.03810158,244.104072451591,-58.0858513712883,250.919836435821,-143.632262945175,373.362004756927,400.036765253975,0
0.4301882,0.4904026,2.19104,0.00189209,0.07514954,0.05858493,0.5337491,0.1071537,0.9216003,0.09328842,0.003780365,0.01572259,34.2985689640045,0.86355785606429,34.30943842661,-4.10195719450712,-101.22437775135,101.307456309857,0
0.4384682,0.2817831,0.2446899,0.01295471,0.01235962,0.03118497,0.1764262,0.4107811,0.9102478,0.04467773,0.04796219,0.03827132,-50.5113489925861,-52.9433786869049,73.1737502376081,52.6913516223431,-49.0830466151237,72.0105825612583,0
0.2301764,0.2692237,0.8971558,0.1108856,0.02645874,0.07027447,0.01978675,0.4821353,0.6521301,0.06081009,0.07572937,0.01650663,-29.4918026775122,123.596839606762,127.066695817389,-116.126164793968,-93.2483971118927,148.931359067502,0
0.2401986,0.1415073,0.07763672,0.0187149,0.07035828,0.008785784,0.0138163,0.1250978,0.02706909,0.03020859,0.009746552,0.01867688,906.25,-241.057395935059,937.762086371054,360.062003135681,1115.98086357117,1172.62864281883,0
0.4315082,0.4936323,0.2406616,0.001144409,0.01319885,0.05980498,0.3578046,0.06137395,0.5915222,0.135479,0.02116013,0.004260287,-54.8440292477608,4.75526228547096,55.0497962169967,35.7723273336887,-229.034468531609,231.811231777981,0
