Fx1,Fy1,Fz1,Mx1,My1,Mz1,Fx2,Fy2,Fz2,Mx2,My2,Mz2,Copx1,Copy1,Copxy1,Copx2,Copy2,Copxy2
0.03110553,0.1507244,0.4609375,0.1334763,0.02622986,0.08256817,0.1848877,0.3736861,0.2256165,0.1318016,0.04452515,0.03260183,56.9054558873177,-289.575606584549,295.113982790638,-197.348847985268,584.184348583221,616.618132178024,0
0.3871381,0.1375856,1.162537,0.07291412,0.04841614,0.05382079,0.160845,0.182034,0.3901672,0.1159706,0.01036835,0.01102085,41.6469797492027,62.719851732254,75.2877860183604,-26.5741106122732,-297.233074903488,298.41863911528,0
0.02815552,0.152845,0.4535522,0.01145935,0.0612793,0.02564836,0.1582912,0.01429462,0.2315369,0.1402245,0.07596207,0.03626864,-135.109677910805,-25.2657793462276,137.451753976199,-328.077644109726,-605.624735355377,688.778818372675,0
0.2433651,0.05835748,0.7827759,0.03739929,0.0850296,0.01468754,0.157845,0.1639006,0.2425842,0.03429794,0.01016235,0.05681136,108.62573236227,47.7777794003487,118.668723493884,41.8920628726482,-141.385704278946,147.461392595416,0
0.1726664,0.0691458,0.1356201,0.03607941,0.03172302,0.01447874,0.1612112,0.1600955,0.5645447,0.02417374,0.0319252,0.05700865,-233.910888433456,266.032844781876,354.242541531175,-56.5503537654877,42.8198836743832,70.932960948275,0
0.03635325,0.06578684,0.1357422,0.037323,0.103775,0.02478206,0.006123185,0.3724141,0.8635559,0.01054001,0.02509689,0.0005766302,-764.500916004181,274.955034255981,812.4419495779,29.0622673928738,12.2053576633334,31.5212014635354,0
0.1731663,0.06683576,0.5113525,0.08693695,0.1412354,0.01426882,0.00929293,0.1968243,0.5558777,0.1757164,0.01686859,0.02321663,-276.199579238892,170.013725757599,324.331426965875,-30.345868319273,316.106230020523,317.559475345704,0
0.1651763,0.2782469,0.8342896,0.03983307,0.07518768,0.04272872,0.1844778,0.3707058,0.2261047,0.01062012,0.04403687,0.03258184,90.1218056678772,47.7448962628841,101.987817782283,-194.763123989105,46.9699017703533,200.346814644786,0
0.0418555,0.2704872,0.1868896,0.03937531,0.02648926,0.08252829,0.1562649,0.1661533,0.0625,0.02366257,0.05392456,0.01179111,-141.737431287766,210.687458515167,253.926573252258,-862.79296875,-378.60107421875,942.205115844756,0
0.4366869,0.5798341,1.428894,0.04139709,0.09903717,0.08224708,0.191378,0.01853871,0.08291626,0.04046249,0.001152039,0.03358209,69.3103671073914,-28.9714243263006,75.1217040279034,13.8940010219812,-487.992256879807,488.190010179485,0
0.2334451,0.3627142,0.1295166,0.06632233,0.003219604,0.01378733,0.1576748,0.01461697,0.2423401,0.02038193,0.01008606,0.03307112,-24.8586237430573,512.075901031494,512.678924466001,41.6194424033165,-84.1046497225761,93.8390648446595,0
0.238413,0.1481431,0.1937866,0.1138382,0.04636383,0.09341103,0.3575006,0.2004359,0.54953,0.05427933,0.01511765,0.02251947,239.251971244812,-587.440967559814,634.293619794602,27.5101345032454,98.7740904092789,102.533547859064,0
0.03583331,0.06380689,0.5115967,0.08609772,0.156311,0.02532202,0.009812951,0.1987143,0.872467,0.006629944,0.05895996,0.02440663,-305.535674095154,168.292179703712,348.818442594721,-67.5784423947334,-7.59907672181726,68.004351651364,0
0.03493547,0.05925608,0.5160522,0.0366745,0.01829529,0.05381829,0.01396334,0.01946688,0.5527039,0.08084869,0.0168457,0.0009763688,35.4523956775665,-71.0674151778221,79.4194551689677,-30.4787140339613,-146.278500556946,149.420051312909,0
