Fx1,Fy1,Fz1,Mx1,My1,Mz1,Fx2,Fy2,Fz2,Mx2,My2,Mz2,Copx1,Copy1,Copxy1,Copx2,Copy2,Copxy2
0.01624884,0.4801402,0.895813,0.1244965,0.04232788,0.07642686,0.1831147,0.05565214,0.2720032,0.07353592,0.03793716,0.03027436,-47.2507998347282,138.975948095322,146.788801459836,-139.473244547844,-270.349502563477,304.20657369791,0
0.03168889,0.1411697,0.7266846,0.1059494,0.08578491,0.0480966,0.1802543,0.2296622,0.05581665,0.1259346,0.002887726,0.006634369,118.04972589016,145.798340439796,187.597691504295,-51.7359226942062,-2256.21914863586,2256.81223241283,0
0.2288985,0.2766244,1.544128,0.0139389,0.06082916,0.008865952,0.5050641,0.1399896,0.6509094,0.02959061,0.1418877,0.01304339,39.393849670887,-9.02703683823347,40.4148832235263,217.983737587929,45.460406690836,222.673659037838,0
0.2287586,0.2757542,0.2453613,0.1102524,0.059021,0.008325875,0.1582266,0.1272779,0.01907349,0.0308609,0.05992126,0.01558442,240.547269582748,449.347019195557,509.681991602261,-3141.59989356995,1618.00003051758,3533.77616580813,0
0.4384282,0.2824031,0.5697021,0.07492828,0.03159332,0.03109497,0.01837659,0.3013651,0.3473206,0.01676178,0.03189087,0.004773378,55.4558597505093,-131.521850824356,142.735243107413,-91.8196961283684,-48.2602566480637,103.72998105101,0
0.2259786,0.4852228,0.5698853,0.06288147,0.07052612,0.03649598,0.1799348,0.2287195,0.04263306,0.1228752,0.004589081,0.05209462,-123.75495582819,110.3405803442,165.802089138624,-107.641376554966,-2882.15827941895,2884.16764657844,0
0.2292085,0.2797443,0.07867432,0.07551575,0.1026077,0.008135796,0.009336501,0.2276495,0.2801819,0.1813736,0.05265427,0.02042718,-1304.20863628387,959.852576255798,1619.34466223295,-187.92887032032,-647.342324256897,674.069243530806,0
0.4377782,0.2791132,0.2454834,0.1114883,0.01303864,0.03093493,0.1664584,0.04984045,0.2806702,0.0479393,0.01538467,0.02959535,-53.1141236424446,454.158365726471,457.253683735455,54.8140704631805,170.802980661392,179.382943792208,0
0.02912678,0.1460161,0.2449341,0.04447937,0.04151154,0.08726364,0.1532365,0.3118653,0.9756165,0.01716614,0.01656342,0.03859468,-169.480443000793,-181.597307324409,248.397267672616,-16.97738468647,-17.5951700657606,24.4503905988315,0
0.2249485,0.4847827,0.8969727,0.001678467,0.1467361,0.03665596,0.1593663,0.2996151,0.615509,0.1669807,0.02465439,0.03771468,163.590431213379,1.87125743832439,163.601133214228,-40.0552824139595,-271.288871765137,274.229972090694,0
0.03494888,0.3532804,0.40448,0.06408691,0.04205322,0.01980674,0.500914,0.319237,0.9706116,0.1038017,0.09976578,0.03647365,103.968612849712,-158.442735671997,189.508767462405,102.786511182785,106.944665312767,148.331481216863,0
0.2306264,0.2732135,0.572998,0.07486725,0.01712799,0.07046455,0.1824366,0.2331014,0.2824402,0.06029892,0.03676987,0.01467136,29.8918839544058,-130.658820271492,134.034518095458,-130.186378955841,213.492706418037,250.055251813139,0
