Fx1,Fy1,Fz1,Mx1,My1,Mz1,Fx2,Fy2,Fz2,Mx2,My2,Mz2,Copx1,Copy1,Copxy1,Copx2,Copy2,Copxy2
0.0641254,0.3565477,0.06689453,0.003158569,0.02140045,0.05241923,0.1589115,0.01601744,0.2201843,0.01592636,0.007171631,0.01059161,-319.913327693939,-47.2171530127525,323.379029584232,32.5710326433182,-72.3319500684738,79.3270645376487,0
0.3451861,0.5778673,1.033264,0.07357025,0.05158997,0.08088678,0.1613316,0.01543736,0.2218628,0.1053886,0.007194519,0.0113416,49.9291159212589,71.2017863988876,86.9632738750752,32.4277840554714,475.017189979553,476.12276983444,0
0.2605397,0.07089162,0.2541504,0.09583282,0.09615326,0.09231871,0.01110348,0.1934769,0.2249146,0.118618,0.02398682,0.02266362,-378.332138061523,377.07132101059,534.151652453566,106.648571789265,527.39143371582,538.06657787073,0
0.05319533,0.06441176,0.3924561,0.0287323,0.0632782,0.05200915,0.1518213,0.1689328,0.724884,0.09228134,0.03450775,0.01260838,-161.236390471458,73.2115060091019,177.079355726142,47.6045124232769,127.304971218109,135.914477889228,0
0.3519059,0.367336,0.7141724,0.001838684,0.09533691,0.0522067,0.1604984,0.01650572,0.2112122,0.01452255,0.005950928,0.05734815,133.492857217789,-2.57456628605723,133.517681674489,28.1751193106174,-68.7581300735474,74.3069162284264,0
0.2611896,0.07418156,0.5783691,0.09060669,0.05152893,0.09215866,0.1573211,0.008114576,0.4028015,0.01802444,0.00868988,0.03465864,-89.0934988856316,-156.658932566643,180.221177159078,-21.5736031532288,44.747706502676,49.6767308733439,0
0.05936544,0.1479174,0.5878296,0.1038818,0.1081619,0.08147924,0.3328713,0.1796527,0.7333679,0.06094742,0.03314209,0.0460971,184.002175927162,-176.721006631851,255.121764910219,-45.1916269958019,-83.1061974167824,94.5987484040085,0
0.05694538,0.1430486,0.3937378,0.04368591,0.02365875,0.02418935,0.1634912,0.3642046,0.1075745,0.07636642,0.03639221,0.009821355,60.0875839591026,110.951788723469,126.177720565001,338.297873735428,-709.893643856049,786.380592945382,0
0.4906414,0.5390587,2.655518,0.6267014,0.1362839,0.2163083,0.1644015,0.1874144,0.2243347,0.001735687,0.008117676,0.01168865,-51.3210222125053,235.999703407288,241.51543911159,36.1855514347553,-7.7370423823595,37.0034587229863,0
1.672488,12.06524,51.34875,7.52449,1.299919,0.5176694,0.00600332,0.5479469,0.5208435,0.09173965,0.06420898,0.06777363,-25.3154952079058,146.536961197853,148.707616801301,123.278841376305,176.136702299118,214.992582727619,0
6.087838,4.272474,107.5302,15.96559,1.016068,0.9187187,0.4985595,0.1824847,1.354156,0.09105301,0.066185,0.01311935,-9.44914016872644,148.475483059883,148.775855970631,48.8754436373711,67.2396495938301,83.1262862652416,0
7.305452,18.08791,147.0433,19.40432,0.3897781,0.07472949,0.1653912,0.3655145,0.2107239,0.01533508,0.07846069,0.009381354,2.65077105723321,131.963297724724,131.989918302808,-372.338891029358,72.773352265358,379.383988292745,0
6.663926,27.37567,138.0975,22.21063,0.9649658,2.783651,0.3295998,0.004737139,0.4099426,0.1367531,0.09297562,0.04301292,6.98757031932473,160.833016037941,160.984735881474,226.801529526711,333.590775728226,403.387827588556,0
9.046661,32.19498,156.6432,21.16229,0.4964142,1.799363,0.1611513,0.1883047,0.09628296,0.05924606,0.03513336,0.01262864,3.16907675005496,135.098740458488,135.135904632772,364.896982908249,-615.332782268524,715.390970777425,0
1.734164,31.66991,159.6657,21.70975,1.411713,0.1909575,0.3312093,0.3499944,1.055206,0.104702,0.009162903,0.04331267,8.84167570620775,135.970026254654,136.257195292524,8.68351757526398,99.2241948843002,99.6034353218678,0
4.192337,33.01625,155.0888,21.06104,2.362183,0.659409,0.176866,0.7264442,0.5148926,0.1063881,0.07979584,0.01115207,15.2311585843563,135.799869894981,136.651355117012,154.975697398186,206.621915102005,258.282950626777,0
0.1607222,35.20151,153.4925,21.40673,2.894173,0.9190875,0.0116235,0.1953669,0.5414734,0.06372833,0.01810455,0.02147363,18.8554711639881,139.464378356934,140.733228568458,-33.4357209503651,-117.694303393364,122.351528338308,0
