Date;Timestamp;Fx1;Fy1;Fz1;Mx1;My1;Mz1;Fx2;Fy2;Fz2;Mx2;My2;Mz2;Copx1;Copy1;Copxy1;Copx2;Copy2;Copxy2
2021/08/31/ 15:50:34.364;132748878343662612;-0.7452296;0.530502;-0.06481934;0.05323792;-0.0105896;-0.04870301;-0.007954627;-0.07929134;-0.5040588;0.04810333;0.03929138;0.0009111911;163.370996713638;-821.327686309814;837.418205478147;-77.9499933123589;-95.4319760203362;123.221197464328
2021/08/31/ 15:50:34.367;132748878343672603;-0.1294486;0.09199107;0.2533569;-0.1016998;-0.009513855;-0.008593142;-0.00458312;0.09923697;-0.4858093;-0.09156036;-0.1278725;0.04434714;-37.5511907041073;-401.409298181534;403.161898732864;263.215333223343;188.469752669334;323.73316066649
2021/08/31/ 15:50:34.367;132748878343672603;0.2830928;-0.1252675;1.225891;-0.02371216;0.06414032;-0.03689575;-0.1819029;-0.07277179;-0.495636;-0.07365417;0.02463913;0.03449868;52.3213855922222;-19.3427931517363;55.7823541740652;-49.7121475636959;148.60537648201;156.699890027896
2021/08/31/ 15:50:34.368;132748878343682595;-0.1401187;-0.3266985;-0.07452393;-0.01067352;0.03263092;-0.007702947;0.5022227;-0.4514624;1.073761;0.01536179;0.04512787;0.03527036;-437.858313322067;143.222764134407;460.687163606222;42.0278534293175;14.3065229058266;44.3961379123357
2021/08/31/ 15:50:34.368;132748878343682595;0.4849325;-0.3408457;0.5731812;-0.008117676;0.07732391;0.03134525;0.334968;-0.09546328;0.7618713;-0.07518387;-0.01316452;0.0005383492;134.903103113174;-14.1624957323074;135.644474693706;-17.2791909426451;-98.6831560730934;100.184508444065
2021/08/31/ 15:50:34.370;132748878343702582;-0.3423584;-0.1125165;-0.7186279;-0.02496338;0.0173645;-0.07588398;-0.002944589;0.2772155;-0.8127136;-0.0431366;-0.002132416;0.001241446;-24.1634100675583;34.7375571727753;42.3151068109819;2.62382184155285;53.0772395431995;53.1420530143727
2021/08/31/ 15:50:34.370;132748878343702582;-0.1345586;-0.1104593;0.2566528;0.1625443;-0.01106262;-0.03724325;-0.00485447;0.2702558;-0.1764832;-0.04410553;-0.00195694;0.001031443;-43.1034490466118;633.323431015015;634.788528245702;11.0885351896286;249.913543462753;250.159418808809
2021/08/31/ 15:50:34.372;132748878343722566;-0.1189387;0.5118808;-0.7178955;-0.06892395;0.03365326;-0.008612752;-0.003623128;0.09976697;-0.8022156;0.09069824;-0.0009689331;0.04618713;-46.8776561319828;96.0083305835724;106.841537736374;1.20782130397856;-113.059684634209;113.066136052706
2021/08/31/ 15:50:34.372;132748878343722566;0.2866429;0.08277273;0.2504272;0.02315521;0.1064529;-0.008295715;-0.01693454;-0.2599014;0.4413757;0.003368378;-0.003356934;0.02344118;425.085306167603;92.4628302454948;435.025163061416;-7.60561414062977;7.63154262676835;10.7743124755285
2021/08/31/ 15:50:34.374;132748878343742574;0.07817312;0.08305156;-0.7237549;-0.03953552;0.04708099;-0.04751456;0.1633552;-0.08496308;0.1335754;-0.07477951;-0.02849197;0.03435965;-65.0510191917419;54.6255707740784;84.9446177240102;-213.302493095398;-559.829771518707;599.088746880961
