Date;Timestamp;Fx1;Fy1;Fz1;Mx1;My1;Mz1;Fx2;Fy2;Fz2;Mx2;My2;Mz2;Copx1;Copy1;Copxy1;Copx2;Copy2;Copxy2
2021/09/03/ 13:12:02.544;132751375225454525;-122.6812;-111.3559;701.2913;-3.175499;-55.5673;-10.23471;16.92454;4.024475;132.2481;-5.696728;12.28107;1.234724;-79.2356878519058;-4.5280740596354;79.3649650919989;92.8639024496078;-43.0760756134987;102.36822098889
2021/09/03/ 13:12:02.546;132751375225464521;-123.9206;-110.8826;703.9052;-3.206192;-55.82473;-9.943703;16.07029;3.922684;126.2324;-5.373528;11.73415;1.194699;-79.3071761727333;-4.55486355349422;79.4378686426311;92.9567813873291;-42.5685420632362;102.240129006576
2021/09/03/ 13:12:02.546;132751375225464521;-125.0366;-113.7885;707.1434;-2.878983;-55.98959;-10.11764;15.39186;3.987622;121.2038;-5.25597;11.08104;1.18699;-79.1771337389946;-4.07128501683474;79.2817372968765;91.4249196648598;-43.3647483587265;101.188029607962
2021/09/03/ 13:12:02.546;132751375225464521;-126.2942;-113.9502;711.0502;-2.742355;-56.16188;-10.01293;14.72032;4.060159;114.8786;-5.132267;10.50897;1.157145;-78.984409570694;-3.85676743462682;79.078515478453;91.4789363741875;-44.6755699813366;101.805217711618
2021/09/03/ 13:12:02.548;132751375225484679;-127.6192;-116.853;714.2885;-2.415993;-56.34181;-10.22645;14.38344;3.764543;110.1301;-4.917503;10.09604;1.243503;-78.8782313466072;-3.38237686082721;78.9507178789246;91.6737467050552;-44.6517653763294;101.969877837356
2021/09/03/ 13:12:02.548;132751375225484679;-128.6561;-116.6045;717.5463;-2.185333;-56.41221;-10.29648;13.88508;3.662564;103.1623;-4.657005;9.538872;1.157266;-78.6182209849358;-3.04556428454816;78.6771894048555;92.4646705389023;-45.1424941420555;102.895870059168
2021/09/03/ 13:12:02.550;132751375225506402;-129.1411;-119.3119;721.4385;-1.868492;-56.44536;-10.46038;13.20186;3.71951;99.07097;-4.597073;9.181217;1.130483;-78.2400071620941;-2.58995336480439;78.2828626147281;92.6731377840042;-46.4018136262894;103.640912648152
2021/09/03/ 13:12:02.550;132751375225506402;-130.7902;-118.4224;723.0729;-1.747406;-56.60358;-10.40569;13.03565;3.408949;95.27107;-4.445545;8.741505;1.06845;-78.2819837331772;-2.41663889028132;78.3192768143797;91.7540267109871;-46.6620661318302;102.9376016496
2021/09/03/ 13:12:02.552;132751375225525949;-131.4772;-120.9131;726.3185;-1.322365;-56.5646;-10.63696;12.6979;3.631006;91.49463;-4.220142;8.372864;0.9523324;-77.8784975409508;-1.82064028922468;77.8997760606449;91.5120765566826;-46.1244806647301;102.478914281462
2021/09/03/ 13:12:02.552;132751375225525949;-131.8853;-120.4731;727.6176;-1.106529;-56.6786;-10.50208;12.19556;3.68548;86.7397;-4.277035;7.857815;0.9340985;-77.8961330652237;-1.52075651567429;77.9109764211372;90.5907526612282;-49.3088476359844;103.140908096238
2021/09/03/ 13:12:02.554;132751375225545921;-132.5377;-121.4948;729.5656;-0.662529;-56.72437;-10.56993;11.68823;3.569161;81.68312;-4.140465;7.302177;0.8479419;-77.7508839964867;-0.908114307094365;77.7561871096434;89.3964096903801;-50.6893545389175;102.767352447664
2021/09/03/ 13:12:02.554;132751375225545921;-132.728;-120.8429;730.8715;-0.5830917;-56.9083;-10.34521;11.53066;3.790623;77.25618;-3.912003;6.947495;0.811093;-77.8636112809181;-0.797803339082748;77.8676983856192;89.9280086159706;-50.6367608904839;103.204303626904
2021/09/03/ 13:12:02.556;132751375225565908;-133.1732;-121.8771;732.4877;-0.3256683;-57.1565;-10.31678;11.87864;2.94049;74.06915;-3.835468;6.724369;0.8078027;-78.0306681990623;-0.444605888333172;78.0319348343234;90.7850116491318;-51.7822615802288;104.51469252931
2021/09/03/ 13:12:02.556;132751375225565908;-133.5723;-121.2199;732.8182;-0.06157684;-57.40022;-10.13103;11.0218;2.646117;69.64034;-3.680935;6.220486;0.8572112;-78.328050673008;-0.0840274515212514;78.3280957437746;89.323028922081;-52.8563633561134;103.790166408232
2021/09/03/ 13:12:02.557;132751375225579469;-133.3488;-120.5876;733.1396;0.3268127;-57.60124;-10.06365;11.36279;1.434584;67.38539;-3.632225;6.037762;0.898821;-78.5679072141647;0.445771525846794;78.569171793184;89.6004512906075;-53.9022609591484;104.564308480421
2021/09/03/ 13:12:02.558;132751375225589494;-133.5439;-120.1474;733.4683;0.6062241;-57.83069;-9.945435;11.19582;1.120561;64.23112;-3.604275;5.599934;0.9045051;-78.8455232977867;0.8265171200037;78.8498552608151;87.1841162443161;-56.1141446232796;103.681567079712
2021/09/03/ 13:12:02.559;132751375225599496;-133.9311;-119.0707;734.1299;0.9037018;-58.03007;-9.896235;11.03743;0.8163328;59.13225;-3.323677;5.325603;0.9351362;-79.0460482239723;1.23098352923989;79.055632691642;90.0625884532928;-56.2075227499008;106.162872288705
2021/09/03/ 13:12:02.560;132751375225609494;-133.5012;-118.4491;734.7701;1.105644;-58.25917;-9.732668;10.87142;1.02333;56.61908;-3.34214;4.972919;0.7842134;-79.2889669537544;1.50474847760051;79.3032442499952;87.831161916256;-59.0285137295723;105.823808458597
2021/09/03/ 13:12:02.561;132751375225619474;-133.0666;-117.822;735.0938;1.495262;-58.44508;-9.761424;10.70717;1.056104;53.44492;-3.218346;4.701408;0.7020847;-79.5069709420204;2.03411071561277;79.5329870857285;87.9673659801483;-60.2179951965809;106.604242049652
2021/09/03/ 13:12:02.562;132751375225629468;-133.2607;-117.1786;737.0453;1.698227;-58.63082;-9.695623;10.54986;1.791295;50.63145;-3.101082;4.392426;0.6438622;-79.5484632253647;2.3041011299938;79.5818250829575;86.7528989911079;-61.2481273710728;106.195096825722
2021/09/03/ 13:12:02.563;132751375225639466;-132.6238;-116.7609;738.9941;1.918678;-58.66995;-9.578248;10.73394;2.155774;48.73199;-3.01059;4.068794;0.5619447;-79.39163595438;2.59633758105338;79.4340785075751;83.493284881115;-61.7785006761551;103.863909834132
2021/09/03/ 13:12:02.564;132751375225649473;-132.8114;-115.9045;738.9949;2.229317;-58.94297;-9.403633;10.56862;2.014081;45.56883;-2.87413;3.798962;0.5247416;-79.7609984874725;3.01668769679964;79.8180260616524;83.3675414323807;-63.0722790956497;104.538315247565
2021/09/03/ 13:12:02.565;132751375225659470;-132.5885;-115.2655;740.6232;2.496735;-58.96921;-9.258636;10.58081;2.39288;43.04411;-2.904453;3.63063;0.4786516;-79.6210616827011;3.37112648412585;79.6923958558937;84.3467339873314;-67.4762055277824;108.015785174007
2021/09/03/ 13:12:02.566;132751375225669462;-132.191;-116.1009;742.5662;3.052383;-59.02687;-9.314933;10.24218;2.424613;40.20641;-2.601246;3.387478;0.499054;-79.4903784990311;4.11058776080608;79.5965904147816;84.252193570137;-64.697302877903;106.22698866604
2021/09/03/ 13:12:02.567;132751375225679438;-132.8019;-115.4453;744.5214;3.254555;-59.24214;-9.249355;9.742036;2.991352;37.05446;-2.766438;3.171356;0.5075908;-79.5707777142525;4.37133852392435;79.6907602331771;85.5863615870476;-74.6586918830872;113.573524922856
2021/09/03/ 13:12:02.568;132751375225689435;-131.9837;-116.0853;747.4327;3.733429;-59.31222;-9.277734;10.07058;1.932474;37.36365;-2.618935;2.991615;0.4139905;-79.3545916676521;4.99500334262848;79.5116423999195;80.0675377249718;-70.0931176543236;106.413606929953
2021/09/03/ 13:12:02.569;132751375225699435;-132.1965;-116.2735;750.0338;4.11998;-59.41188;-9.267716;9.559962;2.142144;34.51228;-2.325958;2.900105;0.4705611;-79.2122706770897;5.49305882304907;79.4025032417367;84.0310826897621;-67.3950836062431;107.718708460073
2021/09/03/ 13:12:02.570;132751375225709424;-132.4074;-116.4638;751.6643;4.569519;-59.55649;-9.393304;9.379026;1.282519;33.23759;-2.249531;2.714489;0.5463713;-79.2328268289566;6.0792020522058;79.4657004304308;81.6692337393761;-67.6803141832352;106.06832075374
2021/09/03/ 13:12:02.572;132751375225729416;-131.7769;-116.2618;754.5812;4.989029;-59.72671;-9.462543;9.043803;1.319124;30.0722;-2.247665;2.597961;0.4991301;-79.1521295905113;6.61165313795209;79.4277884366025;86.3907858729362;-74.7422873973846;114.235622330063
2021/09/03/ 13:12:02.572;132751375225729416;-131.7813;-116.4629;756.5302;5.252113;-59.8994;-9.491944;8.523213;1.173661;28.19043;-2.112759;2.297489;0.4615238;-79.1764855384827;6.94237137213349;79.4802641068471;81.4989060163498;-74.9459564685822;110.720224317206
2021/09/03/ 13:12:02.573;132751375225739406;-131.7796;-116.4546;758.8015;5.684441;-60.1145;-9.628384;8.519303;1.169951;28.50989;-1.93129;2.254948;0.4618537;-79.2229548096657;7.49134086072445;79.5763580258979;79.0935307741165;-67.7410513162613;104.137585163804
