Date;Timestamp;Fx1;Fy1;Fz1;Mx1;My1;Mz1;Fx2;Fy2;Fz2;Mx2;My2;Mz2;Copx1;Copy1;Copxy1;Copx2;Copy2;Copxy2
2021/09/06/ 09:08:31.972;132753821119742486;-32.57307;-33.75982;541.7617;30.71358;-51.09157;-5.880491;89.02094;-36.69895;697.4812;-19.58838;70.54341;7.014905;-94.3063423037529;56.6920563578606;110.034882890815;101.140230894089;-28.0844550579786;104.967056361571
2021/09/06/ 09:08:31.975;132753821119752476;-32.48333;-30.15027;546.0068;31.5172;-51.2096;-5.620942;88.35033;-36.29213;692.4263;-19.4964;69.88598;6.915876;-93.78931671381;57.7230863273144;110.128972685638;100.929126143456;-28.1566418707371;104.783037680335
2021/09/06/ 09:08:31.976;132753821119762476;-33.03231;-26.95085;550.5772;32.28648;-51.15661;-5.479851;87.17128;-35.50055;685.1694;-19.49327;69.30955;6.851995;-92.9145067930222;58.6411543190479;109.872155492012;101.156808435917;-28.4502953290939;105.081488366189
2021/09/06/ 09:08:31.976;132753821119762476;-35.04788;-24.12548;553.546;32.90045;-50.99223;-5.356173;86.15739;-35.06893;678.5313;-19.45927;68.6628;6.753086;-92.1192243695259;59.4358071684837;109.629223623139;101.193279027939;-28.6785122007132;105.178594697176
2021/09/06/ 09:08:31.976;132753821119762476;-37.5093;-22.34888;555.8577;33.46232;-50.94838;-5.282162;85.48952;-34.82266;672.215;-19.35272;68.00667;6.699403;-91.6572436690331;60.1994358003139;109.658663076296;101.168036460876;-28.789484873414;105.184628347614
2021/09/06/ 09:08:31.977;132753821119772467;-41.65268;-21.14619;558.1889;34.31541;-50.76476;-5.372682;84.1329;-34.03846;665.9091;-19.4108;67.28667;6.599163;-90.9454748034477;61.4763461053371;109.774407389372;101.044826209545;-29.1493330150843;105.165300926406
2021/09/06/ 09:08:31.978;132753821119782463;-45.82982;-21.21776;560.182;34.69765;-50.45306;-5.404483;83.46253;-33.79529;659.8997;-19.241;66.67159;6.591904;-90.0654718279839;61.9399659335613;109.308501935797;101.032927632332;-29.1574597358704;105.15612166778
2021/09/06/ 09:08:31.978;132753821119782463;-51.48082;-21.86973;559.9194;35.31071;-50.29337;-5.425322;82.62047;-33.37151;653.9011;-19.20874;66.1267;6.528497;-89.8225083947182;63.0639120936394;109.75035317881;101.126454770565;-29.3756034225225;105.306628143249
2021/09/06/ 09:08:31.981;132753821119812441;-56.72112;-22.74772;560.2974;35.81356;-50.10328;-5.417102;82.12762;-33.1245;647.2592;-19.16178;65.52827;6.441627;-89.4226580858231;63.9188513159752;109.918293894546;101.239606738091;-29.6044927090406;105.479305842629
2021/09/06/ 09:08:31.982;132753821119822434;-61.9977;-25.10728;559.3693;36.04833;-49.83094;-5.514172;80.94896;-32.33309;639.694;-18.97938;64.74017;6.330069;-89.0841484069824;64.4446015357971;109.950407750517;101.204916834831;-29.6694654971361;105.464270605883
2021/09/06/ 09:08:31.982;132753821119822434;-67.49949;-28.07555;555.8554;36.08543;-49.49072;-5.170683;80.10717;-31.90748;633.3745;-18.88597;63.98243;6.264414;-89.0352353453636;64.9187341332436;110.189451284899;101.018317043781;-29.8180151730776;105.327177913489
2021/09/06/ 09:08:31.983;132753821119832440;-74.69676;-32.2686;551.3883;35.28294;-49.14108;-4.884303;78.92567;-31.12069;626.7517;-19.00495;63.23654;6.198276;-89.1224592924118;63.9892816543579;109.715272031602;100.895680487156;-30.3229354321957;105.353779021881
2021/09/06/ 09:08:31.984;132753821119842429;-79.21661;-37.82727;545.2473;34.13376;-48.99314;-4.654732;77.56643;-30.67231;618.8495;-18.72632;62.64227;6.100487;-89.8549035191536;62.6023486256599;109.512363411101;101.223759353161;-30.2598923444748;105.649943408815
2021/09/06/ 09:08:31.984;132753821119842429;-81.69127;-45.15396;541.3226;33.15634;-49.4352;-4.872042;76.89558;-30.429;612.8508;-18.55954;61.85876;6.045733;-91.3229882717133;61.2506084144115;109.961471516214;100.936099886894;-30.283946543932;105.381277647658
2021/09/06/ 09:08:31.986;132753821119862416;-82.26757;-51.49475;535.092;32.28719;-49.87326;-4.904884;75.88279;-30.17149;605.8921;-18.44879;61.25406;6.037653;-93.2050198316574;60.3395216166973;111.031678320881;101.097300648689;-30.4489731788635;105.583162322875
2021/09/06/ 09:08:31.986;132753821119862416;-83.91209;-58.63308;534.3965;31.78915;-50.08153;-5.117012;74.70033;-29.3827;598.9634;-18.38844;60.38183;5.925215;-93.7160551548004;59.4860687851906;111.001312484556;100.810542702675;-30.7004433125257;105.381605318924
2021/09/06/ 09:08:31.988;132753821119882402;-83.86579;-64.98891;534.6635;30.79945;-50.1226;-5.32857;73.52878;-28.57541;589.7951;-18.26129;59.71905;5.860604;-93.746080994606;57.6053112745285;110.030448462608;101.253889501095;-30.9620946645737;105.882016627556
2021/09/06/ 09:08:31.988;132753821119882402;-83.42062;-71.77679;534.92;29.84028;-49.87637;-5.347412;72.51465;-28.14104;583.179;-18.23164;58.99041;5.78352;-93.2407900691032;55.7845570147038;108.654322205963;101.153194904327;-31.2625057995319;105.874043600018
2021/09/06/ 09:08:31.990;132753821119902393;-83.55502;-76.86517;535.5189;28.82388;-49.62576;-5.464322;71.83914;-28.07761;577.8058;-18.16988;58.20631;5.750995;-92.6685482263565;53.8242161273956;107.16578778747;100.736811757088;-31.4463376998901;105.530930999961
2021/09/06/ 09:08:31.990;132753821119902393;-82.85599;-81.98077;537.4117;27.56158;-49.2274;-5.581482;70.668;-27.26762;568.319;-17.98161;57.50079;5.686174;-91.6009172797203;51.2857809662819;104.980757169148;101.176977157593;-31.6399894654751;106.00881869035
2021/09/06/ 09:08:31.993;132753821119932386;-82.18594;-87.9241;538.3203;26.66859;-48.87758;-5.290894;69.64867;-27.01408;562.022;-17.75647;56.64475;5.585037;-90.7964706420898;49.5403818786144;103.432337872345;100.787431001663;-31.5939076244831;105.623298788191
2021/09/06/ 09:08:31.993;132753821119932386;-80.25882;-93.8956;539.8777;25.78029;-48.52396;-5.113543;68.47243;-26.21399;553.8187;-17.5714;55.94132;5.588465;-89.8795425891876;47.7520860731602;101.777177699031;101.010173559189;-31.7277200520039;105.875886688876
2021/09/06/ 09:08:31.994;132753821119942376;-80.20961;-99.80924;540.7949;25.134;-48.30407;-4.839943;67.45805;-25.95419;546.5433;-17.40113;55.12422;5.464746;-89.320495724678;46.4760325849056;100.688492695717;100.859738886356;-31.838521361351;105.765676713673
2021/09/06/ 09:08:31.994;132753821119942376;-77.88657;-106.8361;542.3469;24.8162;-48.27148;-4.961171;66.11603;-24.79667;537.7206;-17.2486;54.23613;5.386396;-89.0048071742058;45.7570627331734;100.0777921923;100.8630245924;-32.0772491395473;105.840916673504
