Date;Timestamp;Fx1;Fy1;Fz1;Mx1;My1;Mz1;Fx2;Fy2;Fz2;Mx2;My2;Mz2;Copx1;Copy1;Copxy1;Copx2;Copy2;Copxy2
2021/08/31/ 15:51:00.765;132748878607655981;-0.1264486;0.3018316;0.5776978;-0.05458069;0.03394318;0.0192169;-0.005523086;0.09845686;-0.4839783;0.02967072;-0.04304123;0.04574713;58.7559416890144;-94.4796651601791;111.25946167649;88.9321491122246;-61.3058842718601;108.015455338917
2021/08/31/ 15:51:00.766;132748878607665978;0.07389323;-0.1229388;0.5775757;-0.02391052;0.04801941;-0.07645476;-0.3561476;0.1018903;-0.1676941;-0.02980042;-0.03302383;-0.02269979;83.1395983695984;-41.3980782032013;92.87622783025;196.929022669792;177.707001566887;265.256137300484
2021/08/31/ 15:51:00.767;132748878607675973;-0.1363687;-0.1192381;-0.07568359;-0.0256424;-0.0542984;0.0201171;-0.0145947;-0.0840013;0.4526062;-0.01375198;-0.002090454;0.0009911805;717.439532279968;338.810473680496;793.417934983639;-4.61870385333896;-30.3839929401875;30.7330351946274
2021/08/31/ 15:51:00.768;132748878607685967;0.07139317;-0.1290478;0.2460327;-0.08766174;0.004104614;-0.01934439;-0.007694513;0.2681658;0.1435852;0.01609802;0.04080582;0.001991436;16.6832059621811;-356.301158666611;356.691526431938;284.192353487015;112.114772200584;305.507800106769
2021/08/31/ 15:51:00.769;132748878607695960;-0.1256587;0.3013514;-0.3986816;0.006484985;-0.01009369;0.02006698;-0.181053;0.09883857;-0.1665955;-0.03062439;-0.01666641;0.01162867;25.3176670521498;-16.2660740315914;30.0926806609967;100.041218101978;183.824881911278;209.28409526054
2021/08/31/ 15:51:00.770;132748878607705953;0.08259104;0.2994227;0.2525635;0.008232117;0.005065918;0.05889583;-0.006024867;0.09958816;-0.4922791;-0.0901947;0.04104233;-0.02155881;20.0579985976219;32.5942486524582;38.2715083705944;-83.3720788359642;183.218643069267;201.295739392501
2021/08/31/ 15:51:00.771;132748878607715949;0.4919325;-0.1283765;0.2521973;0.03975677;0.03421783;0.002815008;-0.1888926;-0.2541087;0.1441956;0.0607605;0.02528;0.01202841;135.678842663765;157.64157474041;207.989457504978;175.317466259003;421.375662088394;456.392005381239
2021/08/31/ 15:51:00.772;132748878607725943;0.06721316;-0.3328478;0.5718994;0.1134567;-0.03967285;-0.04768443;-0.005194783;0.09927869;-0.8111877;0.09210205;-0.002189636;-0.02174881;-69.3703293800354;198.385804891586;210.164626378411;2.69929645583034;-113.53974789381;113.571829927788
2021/08/31/ 15:51:00.773;132748878607735940;-0.1405887;-0.3236582;0.5750732;0.1135178;-0.05413055;-0.008312941;0.1595185;-0.2633889;0.1260681;0.0618515;-0.02975845;-0.05657037;-94.1281020641327;197.39705324173;218.690869097715;-236.050590872765;490.619719028473;544.451641701041
2021/08/31/ 15:51:00.774;132748878607745933;-0.3423784;-0.1134665;-0.3931885;-0.08654022;-0.02581024;-0.07630402;0.5049828;-0.2728924;0.766571;0.0593605;0.00365448;0.01261036;65.6434372067451;220.098569989204;229.678996339693;4.76730754598975;77.4364024400711;77.5830113111028
2021/08/31/ 15:51:00.775;132748878607755930;0.2759728;-0.3371968;0.2484131;0.0530014;0.01830292;-0.008155584;-0.1822226;0.09360576;0.1379089;0.03258514;-0.0609169;0.05666892;73.6793577671051;213.359951972961;225.723540790227;-441.718310117722;236.280143260956;500.942483317869
2021/08/31/ 15:51:00.776;132748878607765923;0.2871528;0.07907271;-0.3983154;-0.1002579;0.0189743;-0.008345664;0.3297914;-0.2660388;0.4387512;0.001438141;0.02862549;-0.0892417;-47.6363785564899;251.704722642899;256.172777559825;65.2430951595306;3.27780493535101;65.3253815234919
2021/08/31/ 15:51:00.777;132748878607775913;0.07839321;0.08342147;-0.07495117;-0.03977203;-0.03900146;-0.04787463;0.3279781;-0.2768008;1.401642;0.0592308;-0.01252365;-0.02193192;520.358324050903;530.639231204987;743.203053749703;-8.93498677760363;42.258158326149;43.1924291263391
