Fx1;Fy1;Fz1;Mx1;My1;Mz1;Fx2;Fy2;Fz2;Mx2;My2;Mz2;Copx1;Copy1;Copxy1;Copx2;Copy2;Copxy2
-75.43726;-127.5309;473.3363;23.20358;-29.67484;-4.427433;29.25636;-10.48543;370.8323;8.01104;37.81417;1.09033;-62.6929402351379;49.0213334560394;79.5832638758602;101.971089839935;21.6028653085232;104.234288757023
-77.53726;-128.0656;481.4594;24.41644;-30.20689;-4.458624;27.77805;-9.495043;358.0717;7.59621;36.63779;0.9671082;-62.7402663230896;50.7133901119232;80.6733472401903;102.319702506065;21.2142132222652;104.495762419198
-78.76871;-127.1468;489.9159;25.34604;-30.80693;-4.170943;26.46931;-8.678127;345.3228;7.193462;35.22502;0.9211973;-62.8820806741714;51.7354868352413;81.4292126204867;102.006047964096;20.8311229944229;104.111332267252
-79.1092;-123.9425;498.041;26.29644;-31.47154;-3.719592;25.50883;-7.527718;333.5212;6.942829;33.97063;0.9241797;-63.1906539201736;52.7997463941574;82.3460500700944;101.854480803013;20.8167564123869;103.959956748663
-78.39362;-120.3463;505.8468;27.03768;-32.19195;-3.286655;24.55548;-6.377382;321.0897;6.689835;32.5466;0.87842;-63.639722764492;53.4503385424614;83.1080802560445;101.362943649292;20.8347830921412;103.482049321349
-77.05563;-116.9752;513.3155;28.10201;-33.08528;-2.919892;23.59944;-5.045058;308.993;6.237633;31.2529;0.8125103;-64.4540786743164;54.7460690140724;84.5663072993527;101.144380867481;20.186971873045;103.139224422473
-75.4931;-112.9907;519.1613;29.05991;-33.83398;-2.699493;22.45563;-4.599223;297.4772;5.869076;29.9367;0.7101801;-65.1704594492912;55.9747219085693;85.9090116202799;100.635260343552;19.7294950485229;102.551004867257
-73.76474;-110.9039;525.9716;30.21232;-34.61432;-2.816161;21.32446;-3.443195;285.3634;5.557667;28.62441;0.74581;-65.8102333545685;57.4409663677216;87.3524552112903;100.308604538441;19.4757487624884;102.181803342419
-71.03336;-110.1138;533.7348;31.2694;-35.36828;-2.779513;20.18314;-2.647969;274.201;5.3349;27.43952;0.6688778;-66.2656426429749;58.5860274732113;88.4503137924242;100.070841610432;19.4561649113894;101.944669765904
-70.36662;-108.627;540.5508;32.21725;-36.13745;-2.693064;19.04462;-2.024337;262.3846;5.131851;26.16741;0.7266293;-66.8530240654945;59.6007779240608;89.5632712436008;99.7292101383209;19.558509811759;101.62898533819
-66.98851;-107.0025;549.6118;33.21554;-36.66785;-2.402252;18.2446;-1.590524;251.8428;4.817856;25.01387;0.6496277;-66.7158961296082;60.4345425963402;90.0185799443955;99.3233695626259;19.1304106265306;101.148921655219
-66.53034;-105.0857;558.0482;34.3194;-37.3219;-2.029411;17.10275;-0.7959303;240.9861;4.415855;23.87052;0.6183495;-66.8793469667435;61.4989809691906;90.8568748689219;99.0535169839859;18.3241069316864;100.734165612967
