Fx1;Fy1;Fz1;Mx1;My1;Mz1;Fx2;Fy2;Fz2;Mx2;My2;Mz2;Copx1;Copy1;Copxy1;Copx2;Copy2;Copxy2
0.5645809;-0.137553;0.8305054;0.08308411;-0.002883911;0.03724214;-0.1559387;0.1664357;-1.226105;0.01172256;-0.03681946;-0.002687499;-3.47247743047774;100.040420889854;100.100668885499;30.0296191126108;-9.56081878393888;31.5148739465637
0.3598014;0.06989622;0.1798706;-0.05693054;-0.01811981;0.02608117;-0.5034101;0.3371155;0.07394409;-0.1297493;0.01982117;0.04229128;-100.738041102886;-316.508322954178;332.153084321842;268.056124448776;-1754.6945810318;1775.05131152788
-0.05395005;0.08642364;-0.7845459;0.005783081;-0.004852295;-0.03045812;0.01609391;0.1586056;-0.9162598;0.07243729;-0.0642395;-0.0367188;6.18484523147345;-7.3712463490665;9.62224419124281;70.1105818152428;-79.057589173317;105.667384222232
-0.4667816;0.30776;-0.4593506;0.05093384;-0.07711029;-0.00246945;-0.1571172;0.1545932;0.05584717;-0.1128883;0.05006409;0.06545845;167.868062853813;-110.882274806499;201.182915260108;896.448075771332;-2021.37970924377;2211.2428816158
0.1413095;-0.3405557;0.1808472;-0.0274353;-0.03360748;0.06592092;0.01642081;0.1510532;0.04794312;-0.1123085;0.06520081;0.03185096;-185.833618044853;-151.704356074333;239.892361794969;1359.96186733246;-2342.53668785095;2708.68499728671
-0.06045015;-0.1237355;0.1834717;0.08091736;-0.1347046;-0.002138048;0.187704;-0.02477407;-0.2763977;-0.03656387;0.03804779;-0.02498059;-734.198272228241;441.034585237503;856.480360731378;-137.655958533287;132.287174463272;190.916367677563
-0.05379008;0.08650351;0.1887207;-0.05684662;0.04013062;-0.03057803;0.01018402;0.1451585;0.690094;0.006370544;0.06588364;-0.08100902;212.645530700684;-301.220893859863;368.716894954259;95.4705253243446;9.23141557723284;95.9157976522424
-0.06067012;-0.1241057;-0.46521;0.08119202;-0.0486145;-0.001778036;-0.1671588;-0.02584147;0.686615;0.02301407;-0.0353241;-0.02559774;104.500129818916;-174.527689814568;203.421217291069;-51.4467321336269;33.5181578993797;61.4022243587064
-0.05696018;0.0827347;-0.1414795;0.004226685;-0.09160614;0.02595183;0.009851098;-0.02761364;0.3693542;0.08322144;0.02310562;0.009170726;647.487044334412;-29.8748929053545;648.175888017303;62.5568032264709;225.316032767296;233.838979325322
-0.06150015;-0.1242458;0.8360596;-0.04186249;0.03936768;-0.002717987;0.1886941;0.3187609;0.3575134;0.05566406;0.03737259;0.02157994;47.0871664583683;-50.0711798667908;68.7337202421824;104.534782469273;155.697822570801;187.534883952791
