Date;Timestamp;Fx1;Fy1;Fz1;Mx1;My1;Mz1;Fx2;Fy2;Fz2;Mx2;My2;Mz2;Copx1;Copy1;Copxy1;Copx2;Copy2;Copxy2
20210831154912;132748877527375483;0.2129519;-0.09493589;-0.3908691;-0.0381546;-0.1117172;0.02183324;0.2288772;-0.1559954;-0.3600159;0.05426788;-0.02297592;0.0292567;285.817444324493;97.6147726178169;302.026911571491;63.8191923499107;-150.737479329109;163.690796890627
20210831154912;132748877527385477;-0.1983495;0.1332319;0.2681885;0.0719223;-0.05387115;-0.007684469;0.04784748;-0.3326609;0.2793884;0.0682373;0.04660416;-0.02691202;-200.870499014854;268.178194761276;335.064921350913;166.807755827904;244.238123297691;295.765258737939
20210831154912;132748877527385477;0.4204715;-0.09481466;0.5859985;0.02606964;-0.05329895;0.06032407;0.05610716;0.02295637;-0.349823;0.0379715;-0.03808212;-0.02752176;-90.954065322876;44.4875545799732;101.251096345986;108.861118555069;-108.544886112213;153.729422799196
20210831154912;132748877527395469;0.006452188;-0.08579826;-0.05944824;0.02474213;-0.08287048;-0.074866;-0.1163272;0.2009654;-0.3528748;0.0247345;-0.05487442;-0.03883997;1393.99385452271;-416.19610786438;1454.79829070855;155.506789684296;-70.0942650437355;170.574229090848
20210831154912;132748877527395469;-0.4056414;0.1400012;-0.7030029;0.009750366;-0.02552032;0.03238511;0.0486072;-0.1590135;0.5956726;-0.006855011;0.004089355;-0.004341766;36.3018736243248;-13.8695957139134;38.8611851839834;6.86510559171438;-11.5080177783966;13.4001547742286
20210831154912;132748877527405456;-0.2045596;-0.07971752;-0.387085;0.08509827;-0.05480957;0.02169585;0.05600759;0.01934361;-0.04464722;-0.0200882;0.00296402;0.0181485;141.595706343651;-219.84389424324;261.497001686426;-66.3875564932823;449.931651353836;454.803032693427
20210831154912;132748877527415446;0.2037418;-0.302207;1.23291;0.03981018;0.018013;0.04892302;-0.1182909;-0.1507635;-0.3530579;0.05442047;0.03033447;0.02918573;14.6101489663124;32.2896055877209;35.4411495556848;-85.9192684292793;-154.140368103981;176.469186450931
20210831154912;132748877527425444;0.00921236;0.1227221;-0.05834961;0.01055145;0.003494263;-0.04711604;0.2256171;-0.1607554;0.2784729;0.05335236;0.0625267;0.0304267;-59.8849356174469;-180.831596255302;190.489558029165;224.534243345261;191.589042544365;295.1643400848
20210831154912;132748877527435438;0.4117537;-0.5168462;0.9107056;-0.006469727;0.07679749;-0.0746963;0.05186725;-0.1542535;-0.04281616;-0.005939484;-0.08140945;-0.005511761;84.3274593353271;-7.10408156737685;84.6261683692887;1901.37207508087;138.720601797104;1906.42575865421
20210831154912;132748877527445439;0.2039919;-0.5070366;0.5890503;0.05554199;0.01837921;-0.03523672;0.2315301;0.02072644;-0.6759949;0.0995636;0.01913452;-0.06069306;31.2014296650887;94.2907482385635;99.3190536429624;-28.3057205379009;-147.284552454948;149.979842669021
20210831154912;132748877527455428;0.002432287;-0.08937693;0.9112549;-0.03759766;-0.03948975;-0.01894569;0.05950889;0.1987116;-0.0239563;-0.1597939;0.005935669;0.06361826;-43.3355644345284;-41.2592105567455;59.8355546529404;-247.770696878433;6670.22275924683;6674.82299212541
20210831154912;132748877527465432;0.2192019;0.1199132;-0.3865967;0.07180786;-0.02443695;-0.006706953;0.3941602;-0.1777983;1.529572;0.05512619;-0.008487701;0.04120564;63.2104501128197;-185.743600130081;196.204602374024;-5.54907135665417;36.0402837395668;36.4649728499792
20210831154912;132748877527475433;0.2075219;-0.2999463;-0.06091309;0.04085541;0.01753235;-0.007056952;0.06033909;0.1984019;-0.342865;0.02250671;-0.0372963;0.06342825;-287.825644016266;-670.716404914856;729.86580764911;108.77837240696;-65.6430795788765;127.050179850742
20210831154912;132748877527485422;0.009962276;0.121622;-0.7097168;0.009643555;0.00340271;-0.04635596;0.05475897;0.189662;0.9323425;-0.1005592;0.0488739;0.06436825;-4.79446165263653;-13.5878911241889;14.4089433249428;52.4205416440964;-107.856534421444;119.920578733029
20210831154912;132748877527495405;-0.1946096;0.1348704;-0.7006836;0.01097107;-0.01040649;-0.06375432;0.7365276;-0.5294346;1.210632;0.1441422;0.0664711;-0.002920017;14.8519165813923;-15.6576652079821;21.581054327949;54.9061000347137;119.063526391983;131.113703089786
20210831154912;132748877527505405;0.2119819;-0.09420609;-0.3884277;-0.03699493;-0.02554321;0.02143317;0.05759704;0.027246;-0.6676331;-0.02217865;0.004482269;-0.02710176;65.7605305314064;95.2427685260773;115.739502039209;-6.71367207542062;33.2198217511177;33.8914436091518
20210831154912;132748877527515398;0.01485003;0.3349531;-0.3831177;-0.06678009;0.04814911;0.06066453;-0.2843838;0.2087033;-0.6554871;-0.1587029;-0.02625656;0.06237729;-125.677078962326;174.306988716125;214.889865958789;40.0565676391125;242.114394903183;245.405600649947
20210831154912;132748877527525384;-0.4031093;0.3416346;-0.7077637;-0.006515503;-0.02593994;-0.01842523;0.05610716;0.02295637;-0.349823;0.0379715;-0.03808212;-0.02752176;36.6505682468414;9.20576043426991;37.7890219242249;108.861118555069;-108.544886112213;153.729422799196
20210831154912;132748877527535379;0.4108037;-0.5164464;0.9134521;-0.004928589;0.07584381;-0.07542634;-0.1104409;0.2078333;-0.9818115;-0.0970192;-0.05385208;0.02855599;83.0298662185669;-5.39556331932545;83.2049925653862;54.8497140407562;98.8165140151978;113.018558531192
20210831154912;132748877527545389;0.01830009;0.3393821;0.2714233;-0.06578064;-0.03728485;0.003534734;-0.2972053;-0.3222518;-0.365509;0.07245636;-0.07210159;0.01666108;-137.367889285088;-242.354393005371;278.57779670254;197.26350903511;-198.234111070633;279.659891276545
20210831154912;132748877527555387;0.002380103;-0.2845678;1.247253;0.04202271;0.09198761;-0.02491546;0.05285692;0.02384615;-0.02926636;-0.02300644;0.005168915;-0.02658176;73.7521424889565;33.6921960115433;81.0835531645696;-176.61626636982;786.105334758759;805.701497381378
20210831154912;132748877527565367;0.2041519;-0.5069567;1.562378;-0.007072449;0.06336975;-0.03535676;0.2218171;-0.1633754;0.9150085;-0.06871033;-0.02161789;0.02954669;40.5598096549511;-4.52672084793448;40.8116326662018;-23.6258879303932;-75.0925540924072;78.7214980841994
20210831154912;132748877527575377;0.2154118;-0.08944714;0.265564;-0.03637695;-0.02385712;-0.03536707;0.05443594;0.01885533;-0.05361938;-0.01869965;0.001743317;-0.04979126;-89.8356735706329;-136.979997158051;163.810768471761;-32.5128063559532;348.747879266739;350.260140281745
20210831154912;132748877527585352;-0.1904795;0.5442004;0.2659302;-0.206543;0.03404236;0.04871541;0.05969736;0.1930435;-0.0357666;-0.03725815;-0.08109665;-0.0056815;128.012388944626;-776.681184768677;787.159980243524;2267.38476753235;1041.70227050781;2495.23091204378
20210831154912;132748877527595356;0.2005019;-0.7135071;0.9138794;0.1322327;-0.02472687;-0.06332684;-0.1203707;0.02079368;0.2833557;0.03953552;0.03059006;0.05271597;-27.0570367574692;144.693776965141;147.201808176846;107.956379652023;139.52611386776;176.414614923511
