Fx1,Fy1,Fz1,Mx1,My1,Mz1,Fx2,Fy2,Fz2,Mx2,My2,Mz2,Copx1,Copy1,Copxy1,Copx2,Copy2,Copxy2
0.04692343,0.3410608,0.5508423,0.01840973,0.04195404,0.0007401556,0.1662897,0.04627681,0.4815369,0.0715065,0.009174347,0.002341703,76.1634334921837,33.42105448246,83.1735263412454,19.0522205084562,148.49641919136,149.713638720589,0
0.05838344,0.07715058,0.09753418,0.01156616,0.04421997,0.0007800907,0.3564477,0.1414669,0.4621887,0.0874939,0.02954865,0.05845736,453.379213809967,118.585735559464,468.631292375064,-63.9319941401482,189.303398132324,199.807598502112,0
0.05814335,0.0758307,0.4207764,0.07287598,0.001312256,0.000840053,0.1790331,0.142395,1.097809,0.03381729,0.04523468,0.02389888,3.1186540145427,173.194080591202,173.222156650626,-41.2045158445835,-30.8043528348207,51.4462853815381,0
0.2596331,0.1359693,0.548584,0.003501892,0.1443481,0.06733075,0.007313401,0.1337433,0.4606628,0.03211594,0.02303696,0.0095696,263.128608465195,6.38351123780012,263.206029202511,50.0082820653915,-69.7167962789536,85.7977852775517,0
0.05818335,0.07645071,0.7458496,0.01091003,0.0452652,0.0007500499,0.00423336,0.3114011,0.7810364,0.07917404,0.06621933,0.03236985,60.6894418597221,14.6276596933603,62.4273720522445,84.7839266061783,-101.370491087437,132.152528065376,0
0.06903341,0.4961702,0.2299194,0.1029892,0.0007476807,0.001340017,0.008483559,0.03692389,0.7764587,0.01397324,0.0199585,0.01302068,3.25192464515567,-447.936028242111,447.947832243014,-25.7045160979033,17.9961081594229,31.3780505562888,0
0.05838344,0.07715058,0.09753418,0.01156616,0.04421997,0.0007800907,0.1541398,0.2336841,1.115112,0.0009536743,0.03489685,0.02408198,453.379213809967,118.585735559464,468.631292375064,31.294472515583,0.855227175634354,31.3061563202915,0
0.2631631,0.1302984,0.5529785,0.1284485,0.02898407,0.01038064,0.01273325,0.2197841,0.1515198,0.002174377,0.01887894,0.009219334,-52.414458245039,232.284769415855,238.124945219307,-124.597176909447,-14.3504533916712,125.420859534411,0
0.05465338,0.1306398,0.0958252,0.003799438,0.04441071,0.02893017,0.1743717,0.4868109,0.4433289,0.0002746582,0.04745102,0.04439114,463.455408811569,-39.6496802568436,465.148377511057,-107.033453881741,-0.619536032900214,107.035246880412,0
0.3581857,0.090693,0.229248,0.0489502,0.1166611,0.0009394735,0.3339843,0.2277164,0.1598816,0.0591011,0.008308411,0.00950031,-508.88580083847,213.525027036667,551.867461865637,51.9660227000713,-369.655460119247,373.290271385737,0
